page,andrea,antoine,britta,camila,juan,julieta,michael,olivier,santiago
https://www.facebook.com/longobardioficial/,Y,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/politicaargentina/,Y,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/revistabarcelona/,Y,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/la100/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/megafm983/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/metro951/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/radiolared/,Y,Y,Y,Y,N,Y,Y,Y,Y
https://www.facebook.com/radio10/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/popradio1015/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/americatv/,Y,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/c5n.noticias/,Y,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/telenuevec9/,Y,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/canal26tv/,Y,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/telefenoticias/,Y,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/santidelmoro/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/infonewscom/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/diariotiempoargentino/,Y,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/agenciapacourondo/,Y,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/tvpublicanoticias/,Y,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/la-garganta-poderosa-213440425391495/,Y,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/lanatajorge/,Y,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/estebanbullrich/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/larazoncom/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/noticierotrece/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/todonoticias/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/eltribuno/,Y,N,N,N,N,Y,N,N,N
https://www.facebook.com/diariolacapital/,Y,N,N,N,N,Y,N,N,N
https://www.facebook.com/lavoz.com.ar/,Y,N,N,N,N,Y,N,N,N
https://www.facebook.com/lagaceta/,Y,N,N,N,N,Y,N,N,N
https://www.facebook.com/lapoliticaonlinear/,Y,Y,Y,Y,Y,Y,N,Y,Y
https://www.facebook.com/canal7dejujuy/,Y,N,N,Y,N,Y,N,N,N
https://www.facebook.com/elmundoenlanoticiacanal11/,Y,N,N,Y,N,Y,N,N,N
https://www.facebook.com/elcanal13/,Y,N,N,Y,N,Y,N,N,N
https://www.facebook.com/am750/,Y,N,N,Y,N,Y,N,N,N
https://www.facebook.com/radiodelplata1030/,Y,N,N,Y,N,Y,N,N,N
https://www.facebook.com/revistanoticias/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/economiapoliticatv/,Y,N,N,Y,N,Y,N,N,N
https://www.facebook.com/radiomitre/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/infobae/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/pagina12ok/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/clarincom/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/lanacion/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/fontevecchia/,Y,N,N,Y,N,Y,N,N,N
https://www.facebook.com/federicopinedo/,Y,N,N,Y,N,Y,N,N,N
https://www.facebook.com/sergiomassaok/,Y,Y,Y,Y,Y,Y,Y,Y,N
https://www.facebook.com/cfkargentina/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/v%c3%adctor-hugo-118997844848271/,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.facebook.com/cronicadiario/,N,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/cronistacomercial/,N,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/diarioambitofinanciero/,N,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/perfilcom/,N,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/populardiario/,N,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/radiocontinental590/,N,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/revistaanfibia/,N,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/revista.veintitres/,N,Y,Y,Y,Y,N,Y,Y,Y
https://www.facebook.com/taianajorge/,N,N,N,Y,N,N,N,N,N
https://www.facebook.com/randazzoflorencio/,N,N,N,Y,N,N,N,N,N
https://www.facebook.com/stolbizer/,N,N,N,Y,N,N,N,N,N
https://www.facebook.com/anibalfernandezpaginaoficial/,N,N,N,Y,N,N,N,N,N
https://www.facebook.com/lapoliticaonline/,N,N,N,N,N,N,Y,N,N
https://www.facebook.com/himalayan-news-delhi-1539237413037332/,N,N,N,N,N,N,Y,N,N
